docid,title,text,book,book_title,chapter_number,chapter_title
19,TO KEEP GRAPES ,"take perfect grapes from the vines, place them in a vessel and pour rain water over them that has been boiled down one third of its volume. the vessel must be pitched and sealed with plaster, and must be kept in a cool place to which the sun has no access. treated in this manner, the grapes will be fresh whenever you need them. you can also serve this water as honey mead to the sick.",I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
20,TO KEEP POMEGRANATES ,"steep them into hot [sea] water, take them out immediately and hang them up. [tor.] they will keep.",I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
21,TO KEEP QUINCES ,"pick out perfect quinces with stems  and leaves. place them in a vessel, pour over honey and defrutum  and you'll preserve them for a long time .",I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
22,"TO PRESERVE FRESH FIGS, APPLES, PLUMS, PEARS AND CHERRIES ",select them all very carefully with the stems on  and place them in honey so they do not touch each other.,I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
23,TO KEEP CITRON ,place them in a glass  vessel which is sealed with plaster and suspended.,I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
24,TO KEEP MULBERRIES ,"mulberries, in order to keep them, must be laid into their own juice mixed with new wine [boiled down to one half] in a glass vessel and must be watched all the time [so that they do not spoil].",I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
25,TO KEEP POT HERBS ,"place selected pot herbs, not too mature, in a pitched vessel.",I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
26,TO PRESERVE SORREL OR SOUR DOCK ,"trim and clean [the vegetable] place them together sprinkle myrtle berries between, cover with honey and vinegar.",I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
27,TO KEEP TRUFFLES ,the truffles which must not be touched by water are placed alternately in dry sawdust; seal the vessel with plaster and deposit it in a cool place.,I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
28,TO KEEP HARD-SKINNED PEACHES ,"select the best and put them in brine. the next day remove them and rinsing them carefully set them in place in a vessel, sprinkle with salt and satury and immerse in vinegar.",I,THE CAREFUL EXPERIENCED COOK,XII,TO KEEP GRAPES.
29,SALTS FOR MANY [ILLS] ,"these spiced salts are used against indigestion, to move the bowels, against all illness, against pestilence as well as for the prevention of colds. they are very gentle indeed and more healthful than you would expect. [tor. make them in this manner]: 1 lb. of common salt ground, 2 lbs. of ammoniac salt, ground [list. and g.-v. 3 ozs. white pepper, 2 ozs. ginger] 1 oz. [tor. 1-1/2 oz.] of aminean bryony, 1 of thyme seed and 1 of celery seed [tor. 1-1/2 oz.] if you don't want to use celery seed take instead 3 ozs. of parsley [seed] 3 ozs. of origany, 1 oz. of saffron [list. and g.-v. rocket] 3 ozs. of black pepper  1-1/2 ozs. rocket seed, 2 ozs. of marjoram [list. and g.-v. cretan hyssop] 2 ozs. of nard leaves, 2 ozs. of parsley [seed] and 2 ozs. of anise seed.",I,THE CAREFUL EXPERIENCED COOK,XIII,SPICED SALTS FOR MANY ILLS.
30,TO KEEP GREEN OLIVES ,"to keep olives, fresh from the tree, in a manner enabling you to make oil from them any time you desire just place them [in brine].  having been kept thus for some time the olives may be used as if they had just come off the tree fresh if you desire to make green oil of them.",I,THE CAREFUL EXPERIENCED COOK,XIV,TO KEEP GREEN OLIVES.
31,LASER FLAVOR ,"[tor.] laser is prepared in this manner: laser (which is also called laserpitium by the romans, while the greeks call it silphion) from cyrene  or from parthia  is dissolved in lukewarm moderately acid broth; or pepper, parsley, dry mint, laser root, honey, vinegar and broth [are ground, compounded and dissolved together].",I,THE CAREFUL EXPERIENCED COOK,XVI,LASER FLAVOR.
32,ANOTHER [LASER] ,"[another laser flavor which takes] pepper, caraway, anise, parsley, dry mint, the leaves  of silphium, malobathrum  indian spikenard, a little costmary, honey, vinegar and broth.",I,THE CAREFUL EXPERIENCED COOK,XVI,LASER FLAVOR.
33,WINE SAUCE FOR TRUFFLES ,"pepper, lovage, coriander, rue, broth, honey and a little oil.",I,THE CAREFUL EXPERIENCED COOK,XVII,WINE SAUCE FOR TRUFFLES.
34,OXYPORUM ,"[tor. oxyporum (which signifies ""easy passage"") so named because of its effect, takes] 2 ozs. of cumin, 1 oz. of ginger [list. 1 oz. of green rue] 6 scruples of saltpeter, a dozen scruples of plump dates, 1 oz. of pepper and 11 [list. 9] ozs. of honey. the cumin may be either æthiopian, syrian or lybian, must be first soaked in vinegar, boiled down dry and pounded. afterwards add your honey. this compound, as needed, is used as oxyporum.",I,THE CAREFUL EXPERIENCED COOK,XVIII,OXYPORUM.
35,HYPOTRIMA ,"[tor. hypotrima, meaning in latin a perfect mess of potage, requires this]: pepper, lovage, dry mint, pignolia nuts, raisins, date wine, sweet cheese, honey, vinegar, broth, wine, oil, must or reduced must",I,THE CAREFUL EXPERIENCED COOK,XIX,HYPOTRIMA.
36,"OXYGARUM, AN AID TO DIGESTION ","[tor. oxygarum (which is similar to garum or rather an acid sauce) is digestible and is composed of]: 1/2 oz. of pepper, 3 scruples of gallic silphium, 6 scruples of cardamom, 6 of cumin, 1 scruple of leaves, 6 scruples of dry mint. these [ingredients] are broken singly and crushed and [made into a paste] bound by honey. when this work is done [or whenever you desire] add broth and vinegar [to taste].",I,THE CAREFUL EXPERIENCED COOK,XX,"OXYGARUM, DIGESTIVE."
37,ANOTHER [OXYGARUM] ,"1 oz. each of pepper, parsley, carraway, lovage, mix with honey. when done add broth and vinegar.",I,THE CAREFUL EXPERIENCED COOK,XX,"OXYGARUM, DIGESTIVE."
38,MORTARIA ,"mortaria are preparations made in the mortar. place in the mortar [tor.] mint, rue, coriander and fennel, all fresh and green and crush them fine. lovage, pepper, honey and broth  and vinegar  to be added when the work is done.",I,THE CAREFUL EXPERIENCED COOK,XXI,MORTARIA.
39,CUMIN SAUCE FOR SHELLFISH ,"[tor. cumin sauce (so called because cumin is its chief ingredient) for oysters and clams is made of] pepper, lovage, parsley, dry mint, malabar leaves, quite some cumin, honey, vinegar, and broth.",I,THE CAREFUL EXPERIENCED COOK,XXI,MORTARIA.
40,ANOTHER [CUMIN SAUCE] ,"pepper, lovage, parsley, dry mint, plenty of cumin, honey, vinegar and broth.",I,THE CAREFUL EXPERIENCED COOK,XXI,MORTARIA.
41,MINCED DISHES ,"there are many kinds of minced dishes  seafood minces  are made of sea-onion, or sea crab-fish, lobster, cuttle-fish, ink fish, spiny lobster, scallops and oysters . the forcemeat is seasoned with lovage , pepper, cumin and laser root.",II,MINCES,I,"FORCEMEATS, SAUSAGE, MEAT PUDDINGS, MEAT LOAVES."
42,CUTTLE-FISH CROQUETTES ,"the meat is separated from bones, skin [and refuse] chopped fine and pounded in the mortar. shape the forcemeat into neat croquettes  and cook them in liquamen .",II,MINCES,I,"FORCEMEATS, SAUSAGE, MEAT PUDDINGS, MEAT LOAVES."
43,LOBSTER OR CRABMEAT CROQUETTES ,"the shells of the lobsters or crabs [which are cooked] are broken, the meat extracted from the head and pounded in the mortar with pepper and the best kind of broth. this pulp [is shaped into neat little cakes which are fried] and served up nicely .",II,MINCES,I,"FORCEMEATS, SAUSAGE, MEAT PUDDINGS, MEAT LOAVES."
44,LIVER KROMESKIS ,"omentata are made in this manner: [lightly] fry pork liver, remove skin and sinews first . crush pepper and rue in a mortar with [a little] broth, then add the liver, pound and mix. this pulp shape into small sausage, wrap each in caul and laurel leaves and hang them up to be smoked. whenever you want and when ready to enjoy them take them out of the smoke, fry them again, and add gravy .",II,MINCES,I,"FORCEMEATS, SAUSAGE, MEAT PUDDINGS, MEAT LOAVES."
45,[BRAIN SAUSAGE] ,"put in the mortar pepper, lovage and origany, moisten with broth and rub; add cooked brains and mix diligently so that there be no lumps. incorporate five eggs and continue mixing well to have a good forcemeat which you may thin with broth. spread this out in a metal pan, cook, and when cooked [cold] unmould it onto a clean table. cut into handy size. [now prepare a sauce] put in the mortar pepper, lovage and origany, crush, mix with broth put into a sauce pan, boil, thicken and strain. heat the pieces of brain pudding in this sauce thoroughly, dish them up, sprinkled with pepper, in a mushroom dish .",II,MINCES,I,"FORCEMEATS, SAUSAGE, MEAT PUDDINGS, MEAT LOAVES."
46,A DISH OF SCALLOPS ,"[lightly] cook scallops [or the firm part of oysters] remove the hard and objectionable parts, mince the meat very fine, mix this with cooked spelt and eggs, season with pepper, [shape into croquettes and wrap] in caul, fry, underlay a rich fish sauce and serve as a delicious entrée .",II,MINCES,I,"FORCEMEATS, SAUSAGE, MEAT PUDDINGS, MEAT LOAVES."
47,ANOTHER KIND OF KROMESKIS ,"finely cut pulp [of pork] is ground with the hearts  of winter wheat and diluted with wine. flavor lightly with pepper and broth and if you like add a moderate quantity of [myrtle] berries also crushed, and after you have added crushed nuts and pepper  shape the forcemeat into small rolls, wrap these in caul, fry, and serve with wine gravy.",II,MINCES,I,"FORCEMEATS, SAUSAGE, MEAT PUDDINGS, MEAT LOAVES."
48,DUMPLINGS OF PHEASANT ,"[lightly roast choice] fresh pheasants [cut them into dice and mix these with a] stiff forcemeat made of the fat and the trimmings of the pheasant, season with pepper, broth and reduced wine, shape into croquettes or spoon dumplings, and poach in hydrogarum [water seasoned with garum, or even plain salt water].",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
49,DUMPLINGS AND HYDROGARUM ,"crush pepper, lovage and just a suspicion of pellitory, moisten with stock and well water, allow it to draw, place it in a sauce pan, boil it down, and strain. poach your little dumplings of forcemeat in this liquor and when they are done serve in a dish for isicia, to be sipped at the table.",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
50,CHICKEN FORCEMEAT ,"[raw] chicken meat, 1 lb. of darnel  meal, one quarter pint of stock and one half ounce of pepper.",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
51,CHICKEN BROTH ANOTHER STYLE ,"chicken meat, 31 peppercorns crushed, 1 choenix  full of the very best stock, a like amount of boiled must and eleven measures  of water. [put this in a sauce pan] place it upon the fire to seeth and evaporate slowly.",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
52,PLAIN DUMPLING WITH BROTH ,"to 1 acetabulum  of stock  add 7 of water, a little green celery, a little spoonful of ground pepper, and boil this with the sausage meat or dumplings. if you intend taking this to move the bowels the sediment salts  of hydrogarum have to be added .",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
53,[Rank of] DISHES ,"[entrées of] peacock occupy the first rank, provided they be dressed in such manner that the hard and tough parts be tender. the second place [in the estimation of the gourmets] have dishes made of rabbit  third spiny lobster  fourth comes chicken and fifth young pig.",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
54,POTTED ENTRÉES ,"ground pepper, lovage, origany, very little silphium, a pinch of ginger and a trifle of honey and a little stock. [put on the fire, and when boiling] add the isicia [sausage, meat balls and so forth] to this broth and cook thoroughly. finally thicken the gravy with roux  by sowing it in slowly and stirring from the bottom up .",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
55,ANOTHER [THICK ENTRÉE GRAVY] ,"grind pepper which has been soaked overnight, add some more stock and work it into a smooth paste; thereupon add quince-apple cider, boiled down one half, that is which has evaporated in the heat of the sun to the consistency of honey. if this is not at hand, add fig wine  concentrate which the romans call ""color"" . now thicken the gravy with roux or with soaked rice flour and finish it on a gentle fire.",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
56,ANOTHER AMULATUM ,"disjoint a chicken and bone it. place the pieces in a stew pan with leeks, dill and salt [water or stock] when well done add pepper and celery seed, thicken with rice  add stock, a dash of raisin wine or must, stir well, serve with the entrées.",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
57,SPELT OR FARINA PUDDING ,"boil spelt with [tor. pignolia] nuts and peeled almonds  [g.-v. and] immersed in [boiling] water and washed with white clay so that they appear perfectly white, add raisins, [flavor with] condensed wine or raisin wine and serve it in a round dish with crushed  [nuts, fruit, bread or cake crumbs] sprinkled over it .",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
58,DE AMBOLATO CAP. IIII ,"ex torinus, not mentioned by the other editors. the     sense of this word is not clear. it must be a recipe or     a chapter the existence of which was known to torinus,     for he says: ""this entire chapter is wanting in our     copy.""",II,MINCES,II,"HYDROGARUM, SPELT PUDDING AND ROUX [2]."
59,A DISH OF SOW'S MATRIX ,"entrées  of sow's matrix  are made thus: crush pepper and cumin with two small heads of leek, peeled, add to this pulp rue, broth [and the sow's matrix or fresh pork] chop, [or crush in mortar very fine] then add to this [forcemeat] incorporating well pepper grains and [pine] nuts  fill the casing  and boil in water [with] oil and broth [for seasoning] and a bunch of leeks and dill.",II,MINCES,III,"SOW'S MATRIX, BLOOD SAUSAGE."
60,LITTLE SAUSAGE ,"botellum is made of  hard boiled yolks of egg  chopped pignolia nuts, onion and leeks, raw ground pine  fine pepper, stuff in casings and cook in broth and wine .",II,MINCES,III,"SOW'S MATRIX, BLOOD SAUSAGE."
61,LUCANIAN SAUSAGE ,"lucanian sausage [or meat pudding] are made similar to the above: crush pepper, cumin, savory, rue, parsley, condiment, laurel berries and broth; mix with finely chopped [fresh pork] and pound well with broth. to this mixture, being rich, add whole pepper and nuts. when filling casings carefully push the meat through. hang sausage up to smoke.",II,MINCES,IV,LUCANIAN SAUSAGE.
62,SAUSAGE ,"pound eggs and brains [eggs raw, brains cooked] pine nuts [chopped fine] pepper [whole] broth and a little laser with which fill the casings. first parboil the sausage then fry them and serve.",II,MINCES,V,SAUSAGE.
63,ANOTHER SAUSAGE ,"work cooked spelt and finely chopped fresh pork together, pound it with pepper, broth and pignolia nuts. fill the casings, parboil and fry with salt, serve with mustard, or you may cut the sausage in slices and serve on a round dish.",II,MINCES,V,SAUSAGE.
64,ANOTHER SAUSAGE ,"wash spelt and cook it with stock. cut the fat of the intestines or belly very fine with leeks. mix this with chopped bacon and finely chopped fresh pork. crush pepper, lovage and three eggs and mix all in the mortar with pignolia nuts and whole pepper, add broth, fill casings. parboil sausage, fry lightly, or serve them boiled.",II,MINCES,V,SAUSAGE.
65,ROUND SAUSAGE ,"fill the casings with the best material [forcemeat] shape the sausage into small circles, smoke. when they have taken on (vermillion) color fry them lightly. dress nicely garnished on a pheasant wine gravy, flavored, however, with cumin.",II,MINCES,V,SAUSAGE.
66,"VEGETABLES, POT HERBS ",to keep all vegetables green.   _ut omne holus smaragdinum fiat._,III,THE GARDENER,I,TO BOIL ALL VEGETABLES GREEN.
67,"VEGETABLE DINNER, EASILY DIGESTED ","all green vegetables are suited for this purpose  very young  beets and well matured leeks are parboiled; arrange them in a baking dish, grind pepper and cumin, add broth and condensed must, or anything else to sweeten them a little, heat and finish them on a slow fire, and serve.",III,THE GARDENER,II,"VEGETABLE DINNER, EASILY DIGESTED."
68,A SIMILAR DISH ,"parboil polypody  root so as to soften them, cut them into small pieces, season with ground pepper and cumin, arrange in a baking dish, finish on the fire and serve .",III,THE GARDENER,II,"VEGETABLE DINNER, EASILY DIGESTED."
69,ANOTHER LAXATIVE ,"scrub and wash bundles of beets by rubbing them with a little soda . tie them in individual bundles, put into water to be cooked, when done, season with reduced must or raisin wine and cumin, sprinkle with pepper, add a little oil, and when hot, crush polypody and nuts with broth, add this to the red-hot pan, incorporating it with the beets, take off the fire quickly and serve.",III,THE GARDENER,II,"VEGETABLE DINNER, EASILY DIGESTED."
70,BEETS À LA VARRO ,"varro beets, that is, black ones  of which the roots must be cleaned well, cook them with mead and a little salt and oil; boil them down in this liquor so that the roots are saturated thereby; the liquid itself is good drinking. it is also nice to cook a chicken in with them.",III,THE GARDENER,II,"VEGETABLE DINNER, EASILY DIGESTED."
71,ANOTHER LAXATIVE ,"another vegetable dish, promoting good health; wash celery, greens and roots, and dry it in the sun: then also cook the tender part and head of leeks in a new  pot, allowing the water to boil down one third of its volume. thereupon grind pepper with broth and honey in equal amounts properly measured, mix it in the mortar with the water of the cooked celery, strain, boil again and use it to mask the [cooked] celery with. if desired, add [the sliced root of the] celery to it .",III,THE GARDENER,II,"VEGETABLE DINNER, EASILY DIGESTED."
72,ASPARAGUS ,"asparagus [tor. in order to have it most agreeable to the palate] must be [peeled, washed and] dried  and immersed in boiling water backwards  .",III,THE GARDENER,III,ASPARAGUS.
73,"PUMPKIN, SQUASH ","to have the harder ones palatable, do this:  [cut the fruit into pieces, boil and] squeeze the water out of the boiled fruit and arrange [the pieces] in a baking dish. put in the mortar pepper, cumin and silphium, that is, a very little of the laser root and a little rue, season this with stock, measure a little vinegar and mix in a little condensed wine, so that it can be strained  and pour this liquid over the fruit in the baking dish; let it boil three times, retire from the fire and sprinkle with very little ground pepper.",III,THE GARDENER,IV,"PUMPKIN, SQUASH."
74,PUMPKIN LIKE DASHEENS ,"boil the pumpkin in water like colocasia; grind pepper, cumin and rue, add vinegar and measure out the broth in a saucepan. the pumpkin pieces [nicely cut] water pressed out [are arranged] in a saucepan with the broth and are finished on the fire while the juice is being tied with a little roux. before serving sprinkle with pepper .",III,THE GARDENER,IV,"PUMPKIN, SQUASH."
75,"PUMPKIN, ALEXANDRINE STYLE ","press the water out of the boiled pumpkin, place in a baking dish, sprinkle with salt, ground pepper, cumin, coriander seed, green mint and a little laser root; season with vinegar. now add date wine and pignolia nuts ground with honey, vinegar and broth, measure out condensed wine and oil, pour this over the pumpkin and finish in this liquor and serve, sprinkle with pepper before serving.",III,THE GARDENER,IV,"PUMPKIN, SQUASH."
76,BOILED PUMPKIN ,[boiled pumpkin] stewed in broth with pure oil.,III,THE GARDENER,IV,"PUMPKIN, SQUASH."
77,FRIED PUMPKIN ,[fried pumpkin served with] simple wine sauce and pepper.,III,THE GARDENER,IV,"PUMPKIN, SQUASH."
78,"ANOTHER WAY, BOILED AND FRIED ","boiled pumpkin fried is placed in a baking pan. season with cumin wine, add a little oil; finish on the fire and serve.",III,THE GARDENER,IV,"PUMPKIN, SQUASH."
79,"ANOTHER WAY, MASHED ","fried  pumpkin, seasoned with pepper, lovage, cumin, origany, onion, wine broth and oil: stew the pumpkin [in this] in a baking dish, tie the liquid with roux [mash] and serve in the dish.",III,THE GARDENER,IV,"PUMPKIN, SQUASH."
80,PUMPKIN AND CHICKEN ,"[stew the pumpkin with a hen, garnish with] hard-skinned peaches, truffles; pepper, carraway, and cumin, silphium and green herbs, such as mint, celery, coriander, pennyroyal, cress, wine  oil and vinegar.",III,THE GARDENER,IV,"PUMPKIN, SQUASH."
81,CITRON ,"for the preparation of citron fruit we take siler  from the mountains, silphium, dry mint, vinegar and broth.",III,THE GARDENER,V,"CITRUS FRUIT, CITRON."
82,CUCUMBERS ,[stew the] peeled cucumbers either in broth  or in a wine sauce; [and] you will find them to be tender and not causing indigestion.,III,THE GARDENER,VI,CUCUMBERS.
83,CUCUMBERS ANOTHER WAY ,"[peeled cucumbers are] stewed with boiled brains, cumin and a little honey. add some celery seed, stock and oil, bind the gravy with eggs  sprinkle with pepper and serve.",III,THE GARDENER,VI,CUCUMBERS.
84,ANOTHER CUCUMBER RECIPE ,"cucumbers, pepper, pennyroyal, honey or condensed must, broth and vinegar; once in a while one adds silphium.",III,THE GARDENER,VI,CUCUMBERS.
85,MELON-GOURD AND MELONS ,"pepper, pennyroyal, honey or condensed must, broth and vinegar; once in a while one adds silphium.",III,THE GARDENER,VII,"MELON GOURD, MELON."
86,MALLOWS ,"the smaller mallows [are prepared] with garum , stock  oil and vinegar; the larger mallows [prepare] with a wine sauce, pepper and stock, [adding] condensed wine or raisin wine.",III,THE GARDENER,VIII,MALLOWS.
87,"YOUNG CABBAGE, SPROUTS ","[boil the] sprouts;  [season with] cumin , salt, wine and oil; if you like [add] pepper, lovage, mint, rue, coriander; the tender leaves of the stalks [stew] in broth; wine and oil be the seasoning.",III,THE GARDENER,IX,"YOUNG CABBAGE, SPROUTS, CAULIFLOWER."
88,ANOTHER WAY ,"cut the stalks in half and boil them. the leaves are mashed and seasoned with coriander, onion, cumin, pepper, raisin wine, or condensed wine and a little oil.",III,THE GARDENER,IX,"YOUNG CABBAGE, SPROUTS, CAULIFLOWER."
89,ANOTHER WAY ,"the cooked  stalks are placed in a [baking] dish; moisten with stock and pure oil, season with cumin, sprinkle  with pepper, leeks, cumin, and green coriander [all] chopped up.",III,THE GARDENER,IX,"YOUNG CABBAGE, SPROUTS, CAULIFLOWER."
90,ANOTHER WAY ,"the vegetable, seasoned and prepared in the above way is stewed with parboiled leeks.",III,THE GARDENER,IX,"YOUNG CABBAGE, SPROUTS, CAULIFLOWER."
91,ANOTHER WAY ,"to the sprouts or stalks, seasoned and prepared as above, are added green olives which are heated likewise.",III,THE GARDENER,IX,"YOUNG CABBAGE, SPROUTS, CAULIFLOWER."
92,ANOTHER WAY ,"prepare the sprouts in the above way, cover them with boiled spelt and pine nuts  and sprinkle  with raisins.",III,THE GARDENER,IX,"YOUNG CABBAGE, SPROUTS, CAULIFLOWER."
93,LEEKS ,"well matured leeks  are boiled with a pinch of salt  in [combined] water and oil . they are then stewed in oil and in the best kind of broth, and served.",III,THE GARDENER,X,LEEKS.
94,ANOTHER WAY TO COOK LEEKS ,"wrap the leeks well in cabbage leaves, having first cooked them as directed above  and then finish them in the above way.",III,THE GARDENER,X,LEEKS.
95,ANOTHER WAY ,"cook the leeks with [laurel] berries , [and otherwise treat them] and serve as above.",III,THE GARDENER,X,LEEKS.
96,LEEKS AND BEANS ,"after having boiled the leeks in water, [green string] beans which have not yet been prepared otherwise, may be boiled [in the leek water]  principally on account of the good taste they will acquire; and may then be served with the leeks.",III,THE GARDENER,X,LEEKS.
97,BEETS ,"to make a dish of beets that will appeal to your taste  slice [the beets,  with] leeks and crush coriander and cumin; add raisin wine , boil all down to perfection: bind it, serve [the beets] separate from the broth, with oil and vinegar.",III,THE GARDENER,XI,BEETS.
98,ANOTHER WAY ,cook the beets with mustard [seed] and serve them well pickled in a little oil and vinegar.,III,THE GARDENER,XI,BEETS.
99,"GREEN VEGETABLES, POT HERBS ","[the greens] tied in handy bundles, cooked and served with pure oil; also proper with fried fish.",III,THE GARDENER,XII,POT HERBS.
100,TURNIPS OR NAVEWS ,"[turnips are] cooked [soft, the water is] squeezed [out; then] crush a good amount of cumin and a little rue, add parthican  laser or  vinegar, stock, condensed wine and oil  heat moderately and serve.",III,THE GARDENER,XIII,"TURNIPS, NAVEWS."
